makespan time indicator criteria
10570 3.358967 number number
11310 3.774786 number dist
10130 3.969213299 dist number
8380 2.5900412 dist number
9660 4.319435601 dist number
9630 3.5391901 dist number
9850 1.994661599 number number
10780 1.440092301 number dist
9530 1.043002701 dist dist
9690 1.2322319 dist number
11780 4.3845562 number number
10170 2.712729701 number number
9230 4.0044 dist dist
9720 4.3243244 dist number
8910 2.4765723 dist dist
9910 2.893790099 number number
13650 5.78771 number number
10200 2.9993328 dist dist
9240 4.433398699 dist dist
10710 2.9942183 number number
10350 3.121806201 number number
10550 3.066991199 number dist
10230 2.6895998 dist number
8890 3.3499131 dist dist
9850 3.800636199 dist dist
9520 5.414590999 dist number
10920 2.058827701 number number
9330 1.2666206 number dist
10110 3.581323499 number dist
9930 3.732177099 dist number
9560 3.3646304 dist number
11390 2.717002901 number dist
9340 2.266938499 dist number
9480 2.223523101 number number
11000 3.3714588 number dist
9510 4.0788063 dist dist
12570 5.737603 number dist
9340 3.8041838 number number
11090 3.5892147 number dist
10120 5.326442701 number number
10700 4.4507914 number number
9640 3.5826292 dist dist
10730 4.1856909 number number
10380 3.652847 number number
8530 2.521922 dist number
9980 3.607442501 dist number
10830 4.8833677 number number
9980 5.584240101 dist number
11800 4.5641074 number dist
10760 4.106459301 number dist
11480 3.3178472 number number
9180 3.650235301 dist number
10610 2.487326499 dist number
12510 1.959423999 number number
9160 1.2525262 dist number
8820 0.9274276 dist number
9310 1.021244101 dist number
10100 1.159517 number number
9680 1.1766236 dist dist
10540 1.531974501 dist dist
8900 1.041882201 dist number
10960 1.7982111 number number
9300 1.4739149 dist number
9820 1.1187482 dist dist
10260 1.480670199 number dist
10200 1.3182374 dist dist
9540 1.219207301 number dist
9190 0.979122701 dist dist
10220 1.445887201 dist number
10670 1.2069653 number dist
10180 1.207249901 dist dist
10580 1.5840507 number number
11100 1.2124098 number number
9860 0.986003901 number dist
9690 1.070618899 number dist
9720 1.749327699 dist number
10710 1.751124801 dist dist
10610 0.945168 number number
9810 1.639871601 number dist
10960 1.888891201 dist dist
9790 1.529701101 dist dist
9400 1.636961599 dist number
9420 1.2476672 dist number
11120 1.4258336 number dist
9880 1.473724699 dist dist
10480 1.744697799 dist number
8950 0.8388912 dist number
10890 1.246884799 number number
9860 1.499089999 number dist
9600 1.4768041 dist dist
8960 1.197952001 dist number
11160 1.585761599 number number
10060 1.589915299 dist dist
10110 1.7657674 number dist
9870 1.5806992 dist number
10280 1.8469938 dist dist
8920 0.579419901 dist dist
9150 1.7702578 dist number
10950 1.287114299 number number
10440 1.3359802 number number
8950 0.9883336 dist number
9390 1.175950801 dist number
10870 2.190400899 dist number
9550 1.606535099 dist dist
11060 1.284344401 number dist
9650 1.43412 number number
10200 1.307605 number number
10010 1.6716689 dist number
10590 1.6266949 dist dist
9350 1.048162699 number dist
9810 1.666279701 number number
10140 1.067232501 number dist
9670 1.9647609 dist dist
9110 1.656426601 dist dist
9750 1.4833415 dist dist
10280 1.3917814 number number
9300 1.4622726 number number
9750 2.0353688 dist dist
9020 0.992115999 dist dist
9030 1.2006312 dist dist
9420 1.5532508 dist number
10840 1.658212101 number dist
8480 1.1660697 dist dist
10550 1.679706299 number number
9630 1.2372189 number number
9830 1.2604812 number dist
9840 2.2141168 dist dist
10360 1.3656911 number number
9010 1.7511516 dist dist
9820 1.3562762 dist dist
9360 1.3868128 number number
11400 1.483741 number number
10260 1.463198601 dist number
9420 1.4185136 dist number
10080 1.164612101 number number
10920 2.0840701 number dist
10750 1.452475599 number dist
11410 1.619116001 number number
9710 2.0795863 dist number
9920 1.503771901 dist dist
9780 1.7316113 dist number
11380 1.6650489 number number
12890 2.0863708 number dist
10150 1.526623799 number dist
