makespan time indicator criteria
6760 0.0242401 dist dist
6400 0.076776901 dist number
7260 0.027407 number number
6660 0.0453617 number number
6180 0.024927201 number number
7200 0.031712901 dist number
6620 0.0391388 number dist
7520 0.0401069 dist number
7080 0.016723701 number number
6880 0.1228258 dist number
6480 0.020614499 number number
6480 0.010928601 dist dist
7740 0.0340757 number number
8120 0.0842965 dist dist
6780 0.029371601 dist dist
7620 0.0220619 dist dist
7440 0.0238921 dist number
7940 0.045380701 dist dist
6820 0.039026799 number dist
6840 0.0204862 dist dist
6760 0.021652301 dist dist
7240 0.0207282 dist number
7720 0.027054299 dist dist
7060 0.0296667 number number
6500 0.021157601 dist number
6940 0.0219556 number dist
6540 0.0209221 dist number
6660 0.019267299 dist number
6500 0.0217863 number number
7240 0.019775899 number number
6140 0.0394398 number number
6940 0.0283657 number number
7080 0.018301801 number number
7200 0.0197767 dist dist
7400 0.029966499 number number
6600 0.0184207 number dist
6220 0.0099595 number number
6800 0.041405299 number dist
6300 0.0269329 number number
6580 0.0273817 number number
7780 0.032457601 dist dist
7040 0.0241981 number number
6940 0.020855499 dist dist
7340 0.063529001 dist number
7140 0.026883799 dist dist
6720 0.020900301 number dist
6920 0.023041001 number number
7540 0.0431784 number number
7500 0.0228625 dist dist
7300 0.049329801 dist number
6460 0.021213201 number dist
6220 0.0582798 dist dist
7800 0.0084942 dist dist
6760 0.0315403 number number
7000 0.0363691 number dist
7460 0.028381201 number number
7360 0.0312108 number number
7040 0.0231064 number number
7860 0.026440001 number number
6360 0.020833701 dist dist
6460 0.021045199 number number
8140 0.0533032 dist dist
7060 0.0369527 number number
6480 0.0221531 number number
6540 0.011903799 number dist
6880 0.021383099 dist dist
7260 0.0268309 dist number
7900 0.030003301 number dist
7620 0.023888101 number dist
6940 0.0221193 number number
6620 0.022073899 number number
6600 0.038368 number dist
7540 0.025377699 number dist
6820 0.0433918 dist dist
7060 0.0283152 number dist
6380 0.0217205 dist number
6480 0.0198176 number number
7620 0.0242534 number number
7860 0.0259642 number number
6740 0.024588001 number dist
7580 0.0223726 dist dist
6760 0.041354399 dist dist
6960 0.0240026 number number
7320 0.021912801 dist number
8020 0.0220349 dist dist
7500 0.026739601 dist number
7060 0.027949301 dist number
6940 0.022054 dist number
6640 0.023998999 dist number
6940 0.031150801 dist dist
6980 0.025033899 number number
7100 0.020851299 dist number
6360 0.0334393 number dist
7700 0.0575746 dist number
7140 0.026472699 number number
6680 0.042467001 number dist
6380 0.020329701 dist dist
7660 0.0492381 dist number
7260 0.028350599 number dist
7080 0.0253919 dist dist
7020 0.0253105 number dist
6420 0.0351189 number number
7100 0.021547999 dist dist
7500 0.0129444 dist dist
6700 0.037501001 number number
7420 0.027234199 dist number
6340 0.0216882 number number
6300 0.0281996 number number
6420 0.0286377 number number
5600 0.0183689 number number
7160 0.022223201 dist dist
6880 0.031209999 dist dist
6640 0.036700301 number number
7060 0.022193701 dist number
6420 0.0695696 dist number
7820 0.0220758 dist number
7640 0.024552901 dist number
7400 0.038037299 dist dist
7120 0.0205144 dist number
7580 0.0338592 dist number
6500 0.0113597 number dist
7040 0.021072 dist number
7920 0.02339 number number
6420 0.0304584 dist number
7520 0.1050759 dist dist
5840 0.0214171 number dist
6980 0.0214303 number dist
7500 0.0364683 dist number
7460 0.0205438 dist number
6780 0.023714801 dist number
7580 0.0323806 number number
7060 0.0230338 dist number
7100 0.022204599 dist dist
6340 0.0218787 dist dist
6620 0.0283659 number number
6800 0.026179201 number number
7300 0.0390192 number number
7860 0.036345799 dist number
7060 0.0380827 dist number
7020 0.026438299 dist number
6620 0.037022701 dist number
6360 0.024116199 dist number
6980 0.0234488 number dist
6700 0.024014201 number number
7020 0.0360357 dist dist
7360 0.050984001 dist number
6320 0.033180699 dist number
6820 0.022334201 number dist
7100 0.0116367 dist number
7220 0.024061501 dist dist
6580 0.0211187 dist number
7220 0.022161799 number dist
6880 0.020463099 number dist
7340 0.034570599 dist dist
7120 0.025141499 dist number
7760 0.028067101 dist number
7220 0.022520799 number dist
5960 0.019108399 dist number
7680 0.0373551 dist dist
7160 0.023205 dist dist
6720 0.041672301 number number
6740 0.021559 number number
6860 0.0452107 number number
6900 0.0242762 number dist
6300 0.0310574 dist dist
7540 0.025947299 dist number
6860 0.020691201 dist number
