makespan time indicator criteria
6070 0.1444541 dist number
6800 0.314277101 number dist
6290 0.1904374 dist dist
5880 0.127570699 dist number
7030 0.2532132 number number
6400 0.1857286 number dist
6680 0.182854099 dist number
7200 0.199278799 number dist
6040 0.2080647 dist dist
6340 0.138444601 number number
7560 0.320923399 number number
6680 0.256552199 dist dist
6610 0.280542501 dist dist
7670 0.2427933 dist dist
6120 0.134926799 dist dist
6220 0.192981301 dist number
7180 0.252131601 dist dist
6600 0.2862107 dist dist
6930 0.2279377 number number
7160 0.2146215 dist number
5220 0.076897 dist dist
7100 0.181384699 dist number
6980 0.2221565 number dist
6690 0.220941599 dist number
7460 0.202806599 number number
6030 0.206715701 dist dist
6840 0.2121172 dist number
6620 0.195668001 dist number
6320 0.182022299 dist number
6190 0.129109599 number dist
6150 0.199311 dist number
6440 0.237021599 number dist
7400 0.3068237 number dist
6580 0.1851061 number number
5530 0.141097 dist number
6720 0.196160999 dist dist
7430 0.1922345 number number
6340 0.221196301 dist dist
6770 0.249079299 number number
6680 0.231381101 number dist
6570 0.286247801 number dist
6120 0.171731301 number dist
6030 0.2133676 dist number
6760 0.2033346 number dist
7050 0.238959099 dist dist
7470 0.288171401 number dist
6340 0.136635999 dist dist
6800 0.153964201 number number
7670 0.266044101 dist number
5880 0.1755211 number number
5210 0.114352901 number number
7190 0.185256299 number dist
6240 0.218868 dist number
7360 0.253719701 number dist
7070 0.2362571 dist dist
6210 0.2811642 dist number
6960 0.218199301 number dist
6580 0.188154199 number dist
6280 0.207773899 dist dist
5590 0.1307657 dist number
6850 0.2284084 number number
6670 0.2815083 number dist
5420 0.150118201 dist dist
5710 0.135946699 dist number
5930 0.218215401 dist number
6470 0.180653501 number number
5540 0.1368244 dist dist
6480 0.199303499 number number
5820 0.146620699 dist dist
5860 0.1209155 dist number
6500 0.193937399 dist dist
6340 0.286813099 dist dist
6450 0.205279001 dist dist
6810 0.183409201 number number
6540 0.1843618 dist dist
6840 0.114107501 dist dist
6690 0.265526401 number number
6150 0.1967095 number number
6620 0.247815401 dist number
6400 0.1727245 dist number
6130 0.185867401 dist number
6630 0.215695901 number dist
6430 0.2616264 number number
7210 0.292964899 number dist
6020 0.187909199 dist number
7810 0.228623699 number number
6530 0.159776601 dist number
6850 0.218092401 number number
6690 0.219060201 number dist
6020 0.1745777 dist dist
6690 0.213370499 dist dist
6300 0.1736566 number number
6230 0.216835301 dist number
5770 0.096011301 dist dist
7280 0.257339201 dist number
7100 0.268246399 number dist
7250 0.201342701 number number
6470 0.192708501 number number
6510 0.145977501 number dist
6240 0.2391895 number dist
7270 0.2641364 number dist
6890 0.231855999 dist number
5670 0.184650299 dist number
6190 0.234534001 dist number
5720 0.1574728 dist number
7010 0.212800401 dist dist
5890 0.1805186 dist dist
6540 0.199464501 number dist
6390 0.2241904 dist dist
6520 0.2235651 number dist
6580 0.197688601 dist dist
6480 0.215931799 dist dist
5280 0.1770869 number number
6360 0.200262 number dist
5700 0.2522638 dist number
6460 0.2401291 number dist
7020 0.1976244 number number
7380 0.2844346 number number
6180 0.2263287 dist dist
5940 0.1484079 dist dist
6620 0.1757605 dist number
8000 0.323886699 number number
5930 0.118059099 dist number
6320 0.1674162 dist number
5880 0.190926499 dist dist
7290 0.253723101 number number
6480 0.235341599 dist number
6230 0.143756101 dist dist
6600 0.185152999 dist dist
7180 0.249780701 number number
7160 0.217111401 number dist
7930 0.3652521 number dist
6820 0.246856501 number number
7900 0.3415548 number number
6530 0.301531701 number dist
8540 0.265728601 number dist
7770 0.3222115 number dist
6390 0.191271 dist number
6380 0.2326332 number number
6480 0.1995055 number dist
6960 0.2449262 number number
6230 0.1812523 dist dist
6470 0.199127 number dist
5760 0.1773876 dist dist
6370 0.172541201 number dist
7070 0.234691301 dist dist
6000 0.219025101 dist number
6770 0.2123081 dist dist
7700 0.263962501 number dist
6390 0.174454599 number number
6340 0.1691079 dist number
6280 0.215706599 dist dist
6640 0.2266425 number dist
6050 0.173317501 dist dist
6910 0.191948 number dist
5680 0.1582873 number dist
5740 0.128548901 dist dist
6980 0.2026696 number dist
6910 0.222549999 number number
6200 0.2142747 dist dist
6570 0.218696699 dist dist
6390 0.2280883 dist number
7180 0.282301599 dist number
6690 0.159053201 number number
6340 0.1896076 dist number
6420 0.155194401 dist dist
6100 0.2702241 dist number
7340 0.2984441 number number
6290 0.212413401 dist number
6840 0.246378399 dist dist
6490 0.1574192 dist dist
6270 0.1776715 dist dist
6590 0.228126599 number number
5410 0.108646801 number dist
7560 0.2845337 number dist
6290 0.1745225 number number
5820 0.1802878 dist dist
6210 0.1973518 dist number
5730 0.1422613 dist number
5910 0.1573337 number dist
6520 0.2092567 dist dist
6210 0.216005401 number number
5870 0.183134801 dist dist
7510 0.169480499 number number
5630 0.148619599 dist number
7150 0.1761794 number dist
5980 0.174693599 dist dist
7110 0.237580401 number dist
7370 0.2229262 number number
6210 0.209808401 number dist
5870 0.2029503 number dist
5700 0.207125299 number dist
7130 0.3135349 number dist
6730 0.1873392 number number
6860 0.155854499 dist number
7370 0.2836996 number number
6740 0.295242001 number dist
6500 0.1771972 number number
7440 0.3387982 number dist
7030 0.207078501 dist dist
6160 0.259166901 dist dist
7080 0.158371699 dist dist
6750 0.219615999 dist number
7250 0.2355944 dist dist
6170 0.1259385 number dist
6000 0.2014631 number dist
5930 0.183043 dist dist
5880 0.1571257 dist dist
6290 0.166699699 dist dist
5850 0.132275299 number dist
5440 0.107064399 dist number
6040 0.171319001 dist dist
6710 0.2057417 dist dist
7310 0.264457499 number number
6690 0.2069914 dist number
5930 0.2112387 number number
6590 0.2400866 number dist
6280 0.159138401 number number
6190 0.2193884 number dist
6330 0.191235499 number number
5870 0.231845201 dist dist
6460 0.1711813 number number
6530 0.209384201 number number
5850 0.254155199 dist dist
5740 0.1666146 dist number
6850 0.248139401 dist dist
7250 0.2776003 number number
5770 0.173282101 dist dist
6380 0.222456601 dist number
6000 0.174050301 dist number
6500 0.179369101 dist number
5950 0.183617701 number number
6380 0.2141006 number dist
7790 0.2513261 number dist
6830 0.2730778 number dist
6510 0.2664757 dist number
6620 0.253948699 dist number
5990 0.156302299 dist number
6610 0.2036793 number dist
6680 0.208465799 number dist
5890 0.1164447 number dist
6480 0.205498999 dist number
5670 0.1428123 number dist
6240 0.169396401 number number
6820 0.2323479 dist number
6130 0.133134099 number dist
5690 0.1757703 dist number
6920 0.2091577 dist number
5620 0.190226601 dist number
6560 0.1730517 number dist
5500 0.165112501 number number
7010 0.242542899 number dist
6660 0.143616 number dist
5940 0.1523265 number number
6420 0.205352199 dist number
6150 0.192888199 number number
6640 0.1814402 number number
7090 0.259779699 number dist
5790 0.190268199 number number
5340 0.1422615 number dist
6510 0.155399901 dist dist
7150 0.2118759 number number
6650 0.224525099 number number
6330 0.254838199 dist dist
6560 0.231038299 number dist
7120 0.262678801 number dist
5830 0.179353999 dist dist
5960 0.175543501 dist number
6950 0.339882001 dist number
6110 0.2048167 dist number
6160 0.164946199 number number
6810 0.2605202 dist dist
5810 0.1691828 dist number
7440 0.2844207 number number
6930 0.2689653 dist number
6330 0.2015423 number number
6260 0.177037801 number dist
7470 0.280307 number dist
6330 0.238781501 dist number
6320 0.2576742 dist dist
6620 0.154801999 dist number
6770 0.258339701 dist dist
5930 0.196113801 number dist
5930 0.2961253 dist dist
7330 0.321581299 number number
6310 0.131137799 number dist
6300 0.157963599 dist dist
8650 0.308344099 number dist
6250 0.2152322 number number
6880 0.3206257 number dist
7250 0.2118736 number dist
5590 0.112659201 dist number
7540 0.2918512 dist number
8030 0.312683499 number number
5480 0.1547387 dist dist
5040 0.1313769 dist number
6840 0.2284297 dist dist
5680 0.1681722 dist number
6850 0.232855 number dist
6080 0.2417609 dist number
6320 0.1801062 dist number
5760 0.170839999 dist dist
6990 0.222659699 number dist
6410 0.277398899 dist number
6130 0.209697501 dist dist
6800 0.184730001 number number
5960 0.205042699 dist dist
6800 0.2747589 number dist
7040 0.2707642 number number
6350 0.2092078 number dist
7130 0.1875481 number dist
6860 0.2884469 dist dist
6560 0.1719368 number number
7900 0.2779283 dist number
6200 0.1420652 dist number
6420 0.1621653 number number
6010 0.2428436 number number
6170 0.203379801 dist number
5870 0.1813876 dist number
6040 0.1589548 number number
6810 0.185515401 number number
6580 0.2548249 number dist
5260 0.147433499 number number
6050 0.2352839 dist number
6830 0.1880932 number number
7150 0.188749101 number dist
6230 0.162994801 dist dist
7690 0.271200101 number dist
6870 0.1878935 number dist
6360 0.253288999 number dist
7440 0.2047687 number number
6110 0.1806003 dist number
5500 0.152818799 number number
6380 0.2511382 number number
5910 0.174563301 dist number
5570 0.1271581 number number
6750 0.252487601 number dist
5960 0.255247701 dist dist
6810 0.203009601 dist number
5970 0.205296 dist dist
5990 0.1494411 number dist
6630 0.185737801 number dist
6700 0.184258501 dist number
6460 0.1883755 number dist
6220 0.1875861 number number
7230 0.2455503 number number
5900 0.123628299 number dist
7090 0.2326576 dist dist
6540 0.2325702 number dist
6400 0.194427401 dist number
6250 0.2412635 number dist
6070 0.1325574 number number
6740 0.2347724 dist number
5730 0.088499601 number number
6430 0.2396336 dist number
7040 0.227273901 number number
6650 0.1906431 number number
7110 0.1935465 dist number
6570 0.2160045 dist dist
6760 0.244395301 number number
5770 0.188028 number number
7250 0.290039401 number dist
6320 0.284280099 dist number
7270 0.2639002 number number
6720 0.2408834 dist number
6340 0.186384001 number dist
6560 0.249004001 number number
5980 0.1606089 number number
6320 0.256745599 number number
